# data from ifeffit
#------------------------
#   energy    f1
  9686.1040       -1.6753561
  9687.1040       -1.6734174
  9688.1040       -1.6721046
  9689.1040       -1.6704240
  9690.1040       -1.6693870
  9691.1040       -1.6679738
  9692.1040       -1.6671682
  9693.1040       -1.6659481
  9694.1040       -1.6652956
  9695.1040       -1.6641851
  9696.1040       -1.6635760
  9697.1040       -1.6624209
  9698.1040       -1.6616852
  9699.1040       -1.6603562
  9700.1040       -1.6594211
  9701.1040       -1.6578897
  9702.1040       -1.6567674
  9703.1040       -1.6550775
  9704.1040       -1.6538193
  9705.1040       -1.6520169
  9706.1040       -1.6506706
  9707.1040       -1.6488158
  9708.1040       -1.6474551
  9709.1040       -1.6456220
  9710.1040       -1.6443121
  9711.1040       -1.6425627
  9712.1040       -1.6413765
  9713.1040       -1.6398016
  9714.1040       -1.6388218
  9715.1040       -1.6374610
  9716.1040       -1.6366781
  9717.1040       -1.6354684
  9718.1040       -1.6347510
  9719.1040       -1.6335270
  9720.1040       -1.6327496
  9721.1040       -1.6314523
  9722.1040       -1.6306105
  9723.1040       -1.6292907
  9724.1040       -1.6284795
  9725.1040       -1.6272317
  9726.1040       -1.6265165
  9727.1040       -1.6253861
  9728.1040       -1.6248083
  9729.1040       -1.6238378
  9730.1040       -1.6234258
  9731.1040       -1.6226106
  9732.1040       -1.6223230
  9733.1040       -1.6215759
  9734.1040       -1.6212640
  9735.1040       -1.6204070
  9736.1040       -1.6199329
  9737.1040       -1.6188933
  9738.1040       -1.6182384
  9739.1040       -1.6170553
  9740.1040       -1.6163064
  9741.1040       -1.6150601
  9742.1040       -1.6142504
  9743.1040       -1.6129302
  9744.1040       -1.6120049
  9745.1040       -1.6105057
  9746.1040       -1.6093457
  9747.1040       -1.6075879
  9748.1040       -1.6061640
  9749.1040       -1.6041602
  9750.1040       -1.6025296
  9751.1040       -1.6003685
  9752.1040       -1.5986158
  9753.1040       -1.5963617
  9754.1040       -1.5945406
  9755.1040       -1.5922481
  9756.1040       -1.5904181
  9757.1040       -1.5881400
  9758.1040       -1.5863333
  9759.1040       -1.5840804
  9760.1040       -1.5822858
  9761.1040       -1.5800196
